asset,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
DEsk 33,0,79.17,79.67,0,0,80.83,84.67,84.83,0,0,80.83,85,85.17,0,0,90.17,89.5,89.67,0,0,80.17,79.67,80.17,0,0,80,77.14,81.49,80.16,0,80,80.5,0,0,79,86.67,55.33,80,1.5,0,80,79.83,0,0
Desk 68,0,81.83,77.67,76.33,75.83,81.83,48.58,22.33,64.33,0,84.33,0,0,68.3,17.5,54.16,0.33,78.16,53.5,8.83,80.83,0,79.83,0,0,58.83,0,50,13.5,0.33,83.17,77.5,56.83,0,0,59.66,0,55.5,41.33,0.33,57.83,0,80.16,47.5
DEsk 27,0,82.17,61.67,82.83,0,0,78.17,79.66,48.17,0,82.17,82.17,0,0,0,0,0,78,80.66,0,0,42.04,78,79.83,36.5,24.93,11.67,14.33,10.84,0,0,0,0,0,0,83,82.33,0,6,0,46.67,0,0,83
Desk 50,0,90.17,86.67,82.17,84.91,84.92,80.83,0,0,73.16,73.11,79.95,90.88,77.66,75.66,85.13,38.33,82,84,73,80.83,79.99,83.34,79,67,82.66,83.16,84.68,83.33,77.33,64.83,70.5,84.66,43.66,80.5,83.33,65,83.33,19.83,78.67,85.33,81.5,77.5,83.33
Desk 16,0,0,0,0,0,0,82.51,0,0,0,0,0,0,10.33,0,0,36.84,63.17,0.33,0,13.17,0.33,49.5,34.17,14.83,49.22,0,56.67,56.5,0,62.5,0,0,0,0,0,3,88.12,0,0,0,0,34.67,0
Desk 84.1,0,0,86.84,85.69,83.84,87.99,82.5,90.65,84.81,81.47,87.28,87.83,0,86.5,69.59,96.93,91.57,91.27,88.39,63.5,90.17,84.36,84.85,100,87,90.33,90.64,0,89.84,51.79,87.61,85.94,0,0,0,89.73,70.23,91.88,87.21,90.54,0,0,0,0
Desk 17,0,0,0,0,0,0,77.67,52.67,80.67,0,88.67,83,77,0,0,83.84,75.5,61.5,0,0,0,0,87.5,93.54,0,0,83,79.16,83.84,0,0,78.17,57,0,0,0,0,0,0,0,82.83,77.5,0,86.84
Desk 89,0,0,0,0,0.83,54,17.66,63,74.83,0,68.83,85.82,54.33,81.83,0,5.67,47.17,38,78,0.67,55.67,81.71,64.34,67.02,59,49.67,46.51,78,0,0.83,0,27.33,0.33,29,0.33,0,31.5,0.67,44.84,0,0.33,35.83,0.5,0
desk 148,0,80.39,76,75.24,79.58,44.76,79.1,71.16,65.67,49.11,52.29,79.96,63.66,79.64,69.31,73.49,79.66,32.17,57.84,62.85,74.2,52.2,57.67,29.67,74.88,0,0,0,0,0,63.77,51.6,66.17,80.11,49.12,45.97,42.64,70.33,36.48,77.49,24.5,40.34,70.83,71
desk 132,0,0,0,0,0,0,24.33,0,5.5,79.17,0,0,0,0,0,0,21.83,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.83,0,0,0,0,0,0
